pos_x, pos_y, pos_z, pos_yaw, time
-38.143303,-19.405098,1.234368,-2.556860,9.208333
-38.290447,-19.500252,1.234453,-2.558534,9.222507
-38.438061,-19.594427,1.234536,-2.560959,9.239045
-38.586266,-19.687389,1.234616,-2.564294,9.253577
-38.735157,-19.778950,1.234693,-2.568638,9.269111
-38.884769,-19.868990,1.234764,-2.574005,9.285740
-39.035152,-19.957352,1.234830,-2.580422,9.300289
-39.186367,-20.043844,1.234888,-2.587925,9.317176
-39.186367,-20.043844,1.234888,-2.587925,9.333018
-39.338341,-20.128578,1.234937,-2.596324,9.347585
-39.491032,-20.211611,1.234976,-2.605452,9.364198
-39.644409,-20.292976,1.235004,-2.615170,9.378657
-39.798450,-20.372683,1.235021,-2.625360,9.395237
-39.953144,-20.450733,1.235028,-2.635922,9.410274
-40.108471,-20.527115,1.235027,-2.646775,9.425654
-40.264423,-20.601816,1.235019,-2.657852,9.441398
-40.420986,-20.674820,1.235005,-2.669097,9.456460
-40.578144,-20.746111,1.234988,-2.680468,9.472175
-40.735886,-20.815668,1.234970,-2.691928,9.487761
-40.894192,-20.883474,1.234952,-2.703451,9.502866
-41.053051,-20.949514,1.234936,-2.715015,9.518442
-41.212440,-21.013771,1.234923,-2.726606,9.533124
-41.372345,-21.076227,1.234914,-2.738211,9.550149
-41.372345,-21.076227,1.234914,-2.738211,9.564332
-41.532749,-21.136866,1.234912,-2.749823,9.580333
-41.693630,-21.195673,1.234915,-2.761437,9.597340
-41.854965,-21.252634,1.234924,-2.773050,9.611394
-42.016743,-21.307732,1.234939,-2.784660,9.626745
-42.178936,-21.360952,1.234960,-2.796268,9.642328
-42.341526,-21.412283,1.234985,-2.807874,9.657919
-42.504494,-21.461710,1.235015,-2.819479,9.673584
-42.667816,-21.509220,1.235049,-2.831086,9.689124
-42.831520,-21.554813,1.235084,-2.842699,9.704784
-42.995491,-21.598455,1.235120,-2.854314,9.720800
-43.159756,-21.640144,1.235157,-2.865936,9.736691
-43.324287,-21.679874,1.235192,-2.877566,9.751803
-43.489075,-21.717632,1.235225,-2.889206,9.768385
-43.654087,-21.753414,1.235255,-2.900857,9.784285
-43.819305,-21.787209,1.235281,-2.912519,9.800339
-43.819305,-21.787209,1.235281,-2.912519,9.816410
-43.984711,-21.819012,1.235303,-2.924194,9.832200
-44.150276,-21.848818,1.235319,-2.935881,9.847321
-44.315983,-21.876621,1.235332,-2.947580,9.861392
-44.481808,-21.902418,1.235338,-2.959291,9.877001
-44.647728,-21.926208,1.235340,-2.971014,9.892039
-44.813725,-21.947987,1.235337,-2.982748,9.906933
-44.979774,-21.967756,1.235329,-2.994491,9.922428
-45.145851,-21.985516,1.235318,-3.006243,9.937757
-45.311939,-22.001263,1.235302,-3.018004,9.954076
-45.478008,-22.015005,1.235284,-3.029770,9.968382
-45.644043,-22.026739,1.235263,-3.041542,9.983723
-45.644043,-22.026739,1.235263,-3.053318,9.999295
-45.810017,-22.036472,1.235241,-3.053318,10.014583
-45.975910,-22.044205,1.235217,-3.065097,10.030594
-46.141701,-22.049944,1.235194,-3.076878,10.046162
-46.307365,-22.053694,1.235170,-3.088659,10.061199
-46.472881,-22.055458,1.235148,-3.100439,10.077753
-46.638226,-22.055244,1.235127,-3.112217,10.092474
-46.803379,-22.053059,1.235107,-3.123991,10.108018
-46.968319,-22.048906,1.235090,-3.135762,10.122688
-47.133286,-22.042784,1.235076,3.135638,10.138243
-47.297729,-22.034718,1.235064,3.123878,10.153709
-47.461891,-22.024708,1.235056,3.112124,10.169238
-47.625748,-22.012760,1.235051,3.100377,10.185159
-47.789280,-21.998886,1.235048,3.088638,10.199274
-47.789280,-21.998886,1.235048,3.088638,10.215479
-47.952465,-21.983091,1.235049,3.076907,10.230017
-48.115284,-21.965384,1.235053,3.065185,10.246207
-48.277710,-21.945772,1.235060,3.053472,10.261289
-48.439724,-21.924269,1.235070,3.041768,10.275804
-48.601303,-21.900877,1.235081,3.030073,10.291518
-48.762428,-21.875608,1.235095,3.018388,10.307037
-48.923077,-21.848475,1.235110,3.006712,10.321713
-49.083225,-21.819481,1.235127,2.995046,10.337542
-49.242855,-21.788637,1.235145,2.983389,10.353023
-49.401943,-21.755957,1.235163,2.971742,10.368340
-49.560467,-21.721447,1.235181,2.960104,10.383394
-49.560467,-21.721447,1.235181,2.960104,10.398790
-49.718407,-21.685120,1.235200,2.948476,10.415402
-49.875744,-21.646982,1.235218,2.936856,10.430251
-50.032459,-21.607046,1.235236,2.925246,10.446260
-50.188526,-21.565325,1.235252,2.913644,10.460380
-50.343925,-21.521824,1.235268,2.902050,10.475853
-50.498642,-21.476559,1.235282,2.890465,10.491560
-50.652653,-21.429537,1.235295,2.878887,10.507072
-50.805935,-21.380772,1.235306,2.867317,10.522569
-50.958473,-21.330275,1.235315,2.855755,10.538130
-51.110249,-21.278057,1.235323,2.844200,10.553727
-51.261238,-21.224133,1.235329,2.832652,10.569235
-51.411427,-21.168509,1.235334,2.821110,10.584770
-51.560791,-21.111200,1.235337,2.809575,10.600297
-51.709316,-21.052221,1.235338,2.798047,10.617109
-51.709316,-21.052221,1.235338,2.798047,10.631594
-51.856983,-20.991581,1.235338,2.786524,10.647404
-52.003777,-20.929295,1.235336,2.775008,10.663498
-52.149673,-20.865374,1.235333,2.763497,10.678990
-52.294655,-20.799831,1.235330,2.751992,10.695055
-52.438709,-20.732681,1.235325,2.740492,10.710175
-52.581818,-20.663937,1.235320,2.728998,10.725623
-52.723961,-20.593611,1.235314,2.717509,10.741183
-52.865128,-20.521717,1.235308,2.706025,10.756829
-53.005295,-20.448271,1.235302,2.694546,10.772506
-53.144447,-20.373285,1.235295,2.683073,10.789041
-53.282574,-20.296774,1.235289,2.671604,10.803966
-53.419655,-20.218750,1.235283,2.660140,10.819312
-53.555672,-20.139233,1.235277,2.648681,10.834923
-53.690617,-20.058231,1.235271,2.637227,10.851234
-53.824471,-19.975763,1.235266,2.625778,10.867243
-53.824471,-19.975763,1.235266,2.625778,10.882699
-53.957214,-19.891842,1.235262,2.614334,10.897722
-54.088863,-19.806471,1.235259,2.602893,10.914659
-54.219421,-19.719645,1.235255,2.591453,10.930189
-54.348763,-19.631456,1.235253,2.580024,10.944249
-54.476936,-19.541878,1.235252,2.568600,10.960579
-54.603935,-19.450924,1.235251,2.557182,10.975990
-54.729744,-19.358608,1.235251,2.545769,10.992063
-54.854347,-19.264950,1.235252,2.534361,11.007610
-54.977730,-19.169964,1.235253,2.522958,11.023208
-55.099884,-19.073666,1.235255,2.511562,11.038736
-55.220791,-18.976072,1.235258,2.500170,11.054758
-55.341488,-18.876314,1.235260,2.488684,11.070264
-55.459858,-18.776167,1.235263,2.477304,11.085113
-55.576946,-18.674772,1.235266,2.465930,11.100213
-55.576946,-18.674772,1.235266,2.465930,11.116448
-55.692741,-18.572149,1.235270,2.454562,11.132539
-55.807232,-18.468313,1.235275,2.443200,11.147062
-55.920403,-18.363283,1.235279,2.431844,11.162224
-56.032246,-18.257072,1.235284,2.420494,11.178858
-56.142746,-18.149702,1.235290,2.409150,11.192666
-56.251896,-18.041187,1.235295,2.397813,11.208204
-56.359684,-17.931547,1.235300,2.386481,11.223808
-56.466099,-17.820797,1.235306,2.375156,11.239412
-56.571129,-17.708956,1.235311,2.363837,11.254528
-56.674770,-17.596041,1.235317,2.352526,11.270034
-56.777008,-17.482069,1.235322,2.341222,11.285587
-56.877834,-17.367064,1.235327,2.329929,11.302125
-56.977242,-17.251040,1.235332,2.318645,11.316441
-56.977242,-17.251040,1.235332,2.318645,11.333208
-57.075226,-17.134016,1.235337,2.307373,11.347382
-57.171772,-17.016010,1.235341,2.296111,11.363391
-57.266876,-16.897041,1.235345,2.284860,11.379122
-57.360527,-16.777128,1.235349,2.273621,11.395211
-57.452717,-16.656288,1.235352,2.262393,11.411234
-57.543442,-16.534540,1.235356,2.251177,11.426571
-57.632729,-16.411835,1.235357,2.239959,11.442623
-57.720581,-16.288170,1.235355,2.228742,11.458675
-57.807018,-16.163527,1.235351,2.217519,11.475743
-57.892048,-16.037891,1.235343,2.206288,11.490280
-57.975693,-15.911214,1.235330,2.195040,11.505616
-58.057980,-15.783442,1.235311,2.183769,11.521180
-58.138954,-15.654512,1.235286,2.172472,11.537705
-58.218662,-15.524355,1.235252,2.161152,11.551996
-58.297161,-15.392898,1.235210,2.149814,11.567509
-58.374504,-15.260058,1.235157,2.138459,11.583541
-58.374504,-15.260058,1.235157,2.138459,11.600052
-58.450665,-15.125859,1.235097,2.127088,11.614384
-58.525616,-14.990320,1.235032,2.115702,11.630098
-58.599327,-14.853460,1.234964,2.104301,11.645603
-58.671772,-14.715299,1.234894,2.092885,11.661233
-58.742928,-14.575855,1.234823,2.081453,11.676765
-58.812759,-14.435150,1.234753,2.070006,11.691476
-58.881241,-14.293204,1.234685,2.058543,11.707012
-58.948349,-14.150036,1.234618,2.047062,11.722627
-59.014057,-14.005664,1.234553,2.035563,11.737624
-59.078335,-13.860110,1.234492,2.024046,11.754294
-59.141186,-13.713340,1.234433,2.012504,11.768410
-59.202538,-13.565476,1.234376,2.000946,11.783695
-59.202538,-13.565476,1.234376,1.989366,11.800255
-59.262390,-13.416486,1.234323,1.989366,11.816031
-59.320721,-13.266388,1.234272,1.977763,11.831006
-59.377506,-13.115200,1.234223,1.966137,11.845357
-59.432724,-12.962940,1.234177,1.954485,11.861152
-59.486355,-12.809628,1.234133,1.942808,11.876543
-59.538376,-12.655277,1.234090,1.931105,11.893231
-59.588768,-12.499909,1.234049,1.919375,11.908293
-59.637505,-12.343540,1.234009,1.907617,11.923198
-59.684574,-12.186188,1.233971,1.895831,11.938780
-59.729950,-12.027868,1.233934,1.884016,11.953559
-59.773613,-11.868600,1.233899,1.872173,11.969111
-59.815548,-11.708399,1.233864,1.860300,11.985197
-59.855728,-11.547284,1.233831,1.848398,12.000869
-59.855728,-11.547284,1.233831,1.848398,12.015479
