pos_x, pos_y, pos_z, pos_yaw, time
-16.291597,4.241764,1.236412,-1.765960,4.565346
-16.309139,4.179225,1.236423,-1.770943,4.581344
-16.326982,4.116816,1.236438,-1.775922,4.596368
-16.345125,4.054540,1.236457,-1.780896,4.612476
-16.363565,3.992401,1.236479,-1.785867,4.628508
-16.382322,3.930360,1.236502,-1.790842,4.643164
-16.401398,3.868400,1.236527,-1.795822,4.658216
-16.420807,3.806493,1.236551,-1.800811,4.673021
-16.440563,3.744597,1.236574,-1.805815,4.688552
-16.460693,3.682655,1.236594,-1.810840,4.704646
-16.481224,3.620603,1.236609,-1.815894,4.720669
-16.502190,3.558358,1.236619,-1.820987,4.737246
-16.523634,3.495830,1.236622,-1.826129,4.752351
-16.545599,3.432915,1.236616,-1.831330,4.768603
-16.568144,3.369498,1.236600,-1.836603,4.784665
-16.591255,3.305584,1.236577,-1.841934,4.800278
-16.591255,3.305584,1.236577,-1.847317,4.816496
-16.614931,3.241183,1.236548,-1.847317,4.831337
-16.639179,3.176306,1.236516,-1.852750,4.846090
-16.664000,3.110965,1.236482,-1.858229,4.862724
-16.689400,3.045172,1.236449,-1.863755,4.877247
-16.715384,2.978939,1.236416,-1.869327,4.892438
-16.741962,2.912277,1.236386,-1.874944,4.908029
-16.769138,2.845196,1.236358,-1.880606,4.923680
-16.796917,2.777708,1.236333,-1.886313,4.939208
-16.825310,2.709823,1.236312,-1.892066,4.954572
-16.854319,2.641550,1.236295,-1.897862,4.971407
-16.883953,2.572898,1.236280,-1.903704,4.986323
-16.914217,2.503877,1.236269,-1.909590,5.000904
-16.945122,2.434494,1.236260,-1.915520,5.016458
-16.976673,2.364758,1.236253,-1.921495,5.033502
-16.976673,2.364758,1.236253,-1.921495,5.049061
-17.008877,2.294675,1.236248,-1.927513,5.064216
-17.041742,2.224255,1.236243,-1.933576,5.081276
-17.075275,2.153502,1.236238,-1.939683,5.096414
-17.109488,2.082423,1.236233,-1.945834,5.112232
-17.144386,2.011026,1.236226,-1.952029,5.126744
-17.179977,1.939316,1.236218,-1.958268,5.141437
-17.216270,1.867298,1.236208,-1.964550,5.157515
-17.253277,1.794980,1.236195,-1.970877,5.173567
-17.291002,1.722367,1.236180,-1.977247,5.189056
-17.329456,1.649465,1.236161,-1.983661,5.204418
-17.368650,1.576279,1.236140,-1.990119,5.219440
-17.408461,1.502990,1.236120,-1.996583,5.235048
-17.448801,1.429752,1.236106,-2.003036,5.250812
-17.489613,1.356685,1.236099,-2.009469,5.266388
-17.530851,1.283876,1.236099,-2.015881,5.283437
-17.530851,1.283876,1.236099,-2.015881,5.298052
-17.572500,1.211376,1.236107,-2.022273,5.314079
-17.614531,1.139233,1.236120,-2.028645,5.329313
-17.656952,1.067446,1.236137,-2.035005,5.345392
-17.699772,0.996012,1.236156,-2.041357,5.361700
-17.742989,0.924926,1.236175,-2.047701,5.377249
-17.786606,0.854184,1.236192,-2.054040,5.393443
-17.830627,0.783781,1.236207,-2.060374,5.408137
-17.875050,0.713712,1.236219,-2.066703,5.423651
-17.919876,0.643974,1.236227,-2.073026,5.439167
-17.965107,0.574564,1.236231,-2.079345,5.454525
-18.010746,0.505477,1.236232,-2.085659,5.470852
-18.056789,0.436714,1.236228,-2.091969,5.487371
-18.103239,0.368271,1.236222,-2.098273,5.502079
-18.150097,0.300149,1.236213,-2.104573,5.516239
-18.150097,0.300149,1.236213,-2.110869,5.533319
-18.197359,0.232346,1.236202,-2.110869,5.546961
-18.245028,0.164863,1.236189,-2.117159,5.561707
-18.293102,0.097700,1.236176,-2.123446,5.577222
-18.341579,0.030860,1.236163,-2.129727,5.592356
-18.390461,-0.035657,1.236151,-2.136004,5.607891
-18.439739,-0.101847,1.236140,-2.142277,5.623910
-18.489418,-0.167708,1.236131,-2.148545,5.639471
-18.539492,-0.233237,1.236125,-2.154808,5.654765
-18.589960,-0.298431,1.236121,-2.161067,5.671496
-18.640816,-0.363286,1.236121,-2.167322,5.685026
-18.692059,-0.427799,1.236124,-2.173572,5.702103
-18.743683,-0.491964,1.236131,-2.179818,5.716277
-18.743683,-0.491964,1.236131,-2.186059,5.733359
-18.795689,-0.555779,1.236142,-2.186059,5.748084
-18.848066,-0.619238,1.236155,-2.192296,5.764087
-18.900816,-0.682337,1.236172,-2.198529,5.779377
-18.953934,-0.745073,1.236192,-2.204757,5.794124
-19.007410,-0.807441,1.236215,-2.210981,5.809206
-19.061281,-0.869466,1.236239,-2.217208,5.824584
-19.114655,-0.932008,1.236263,-2.222486,5.840173
-19.167252,-0.995323,1.236287,-2.226522,5.855510
-19.219086,-1.059422,1.236310,-2.229342,5.871427
-19.270321,-1.124223,1.236332,-2.231127,5.887940
-19.321207,-1.189610,1.236350,-2.232132,5.902025
-19.372038,-1.255455,1.236363,-2.232654,5.917086
-19.423067,-1.321691,1.236368,-2.232927,5.933809
-19.423067,-1.321691,1.236368,-2.232927,5.948311
-19.474436,-1.388347,1.236365,-2.233069,5.964346
-19.526253,-1.455503,1.236351,-2.233141,5.981499
-19.578520,-1.523144,1.236330,-2.233173,5.995858
-19.631235,-1.591262,1.236303,-2.233184,6.011467
-19.684387,-1.659854,1.236273,-2.233183,6.027494
-19.737970,-1.728916,1.236241,-2.233174,6.042242
-19.791979,-1.798442,1.236209,-2.233162,6.058337
-19.846401,-1.868433,1.236177,-2.233147,6.073941
-19.901232,-1.938883,1.236147,-2.233132,6.090038
-19.956467,-2.009792,1.236118,-2.233116,6.104596
-20.012070,-2.081177,1.236092,-2.233077,6.120159
-20.067978,-2.153085,1.236069,-2.232956,6.135195
-20.124096,-2.225578,1.236047,-2.232672,6.151162
